"name"                                            ,"Prędkość obrotowa" ,"Poziom hałasu"  ,"Kolor"          ,"Rozmiar" ,"Cena"   ,"imgUrl"
"Thermalright Peerless Assassin 120 SE"            ,"1550 RPM"          ,"25.6 dB"        ,"Black"          ,"300mm"   ,33.90    ,"../../assets/img/coolers/thermalight.jpg"
"Cooler Master MASTERLIQUID ML240L RGB V2"         ,"650 - 1800 RPM"    ,"6 - 27 dB"      ,"Black"          ,"240 mm"  ,99.99    ,"../../assets/img/coolers/default.jpg"
"NZXT Kraken Elite 360 RGB"                        ,"500 - 1800 RPM"    ,"17.9 - 30.6 dB" ,"White"          ,"360 mm"  ,282.99   ,"../../assets/img/coolers/default.jpg"
"Corsair iCUE H150i ELITE CAPELLIX XT"             ,"550 - 2100 RPM"    ,"5 - 34.1 dB"    ,"Black"          ,"360 mm"  ,189.99   ,"../../assets/img/coolers/corsair.jpg"
"Deepcool GAMMAXX AG400 ARGB"                      ,"500 - 2000 RPM"    ,"31.6 dB"        ,"Black"          ,"123mm"   ,29.99    ,"../../assets/img/coolers/default.jpg"
"Cooler Master Hyper 212 Black Edition"            ,"800 - 2000 RPM"    ,"6.5 - 26 dB"    ,""               ,""        ,64.06    ,"../../assets/img/coolers/default.jpg"
"NZXT Kraken 240"                                  ,"500 - 1800 RPM"    ,"17.9 - 30.6 dB" ,"Black"          ,"240 mm"  ,121.99   ,"../../assets/img/coolers/default.jpg"
"Noctua NH-D15 chromax.black"                      ,"300 - 1500 RPM"    ,"19.2 - 24.6 dB" ,"Black"          ,""        ,119.95   ,"../../assets/img/coolers/default.jpg"
"be quiet! Dark Rock Pro 4"                        ,"1500 RPM"          ,"12.8 - 24.3 dB" ,"Black"          ,"340mm"   ,130.00   ,"../../assets/img/coolers/bequiet.jpg"
"Thermalright Phantom Spirit 120 SE"               ,"1500 RPM"          ,"25.6 dB"        ,"Black / Silver" ,"240mm"   ,35.90    ,"../../assets/img/coolers/thermalight.jpg"
"NZXT Kraken Elite 360 RGB"                        ,"500 - 1800 RPM"    ,"17.9 - 30.6 dB" ,"Black"          ,"360 mm"  ,"0.00"   ,"../../assets/img/coolers/default.jpg"
"Deepcool LS720 SE WH"                             ,"500 - 2250 RPM"    ,"28.2 - 32.9 dB" ,"White"          ,"360 mm"  ,89.99    ,"../../assets/img/coolers/default.jpg"
"NZXT Kraken 360"                                  ,"500 - 1800 RPM"    ,"17.9 - 30.6 dB" ,"Black"          ,"360 mm"  ,156.99   ,"../../assets/img/coolers/default.jpg"
"Deepcool AK620 ZERO DARK"                         ,"500 - 1850 RPM"    ,"28 dB"          ,"Black"          ,"400 mm"  ,59.99    ,"../../assets/img/coolers/default.jpg"
"NZXT Kraken 240 RGB"                              ,"500 - 1800 RPM"    ,"17.9 - 30.6 dB" ,"White"          ,"240 mm"  ,159.99   ,"../../assets/img/coolers/default.jpg"
"Corsair iCUE H100i RGB ELITE"                     ,"400 - 1850 RPM"    ,"5 - 28.9 dB"    ,"Black"          ,"240 mm"  ,119.99   ,"../../assets/img/coolers/corsair.jpg"
"ARCTIC Liquid Freezer II 360"                     ,"800 - 2000 RPM"    ,""               ,"Black"          ,"360 mm"  ,"40.00"  ,"../../assets/img/coolers/default.jpg"
"Noctua NH-D15"                                    ,"300 - 1500 RPM"    ,"19.2 - 24.6 dB" ,""               ,""        ,109.95   ,"../../assets/img/coolers/default.jpg"
"Thermalright Peerless Assassin 120 SE WHITE ARGB" ,"1550 RPM"          ,"25.6 dB"        ,"White"          ,"240 mm"  ,36.99    ,"../../assets/img/coolers/thermalight.jpg"
"Thermalright Assassin X 120 Refined SE"           ,"1550 RPM"          ,"25.6 dB"        ,"Black / Silver" ,"240 mm"  ,17.89    ,"../../assets/img/coolers/thermalight.jpg"
"Deepcool AK400"                                   ,"500 - 1850 RPM"    ,"29 dB"          ,"Black / Silver" ,""        ,33.98    ,"../../assets/img/coolers/default.jpg"
"Deepcool LS720 SE"                                ,"500 - 2250 RPM"    ,"28.2 - 32.9 dB" ,"Black"          ,"360 mm"  ,89.99    ,"../../assets/img/coolers/default.jpg"
"Deepcool LS520 SE"                                ,"500 - 2250 RPM"    ,"28.2 - 32.9 dB" ,"Black"          ,"240 mm"  ,74.99    ,"../../assets/img/coolers/default.jpg"
"Corsair iCUE H150i ELITE LCD XT"                  ,"550 - 2100 RPM"    ,"5 - 34.1 dB"    ,"Black"          ,"360 mm"  ,249.99   ,"../../assets/img/coolers/corsair.jpg"
"Deepcool LT720"                                   ,"500 - 2250 RPM"    ,"32.9 dB"        ,"Black / Gray"   ,"360 mm"  ,119.99   ,"../../assets/img/coolers/default.jpg"
"Noctua NH-U12S chromax.black"                     ,"300 - 1500 RPM"    ,"18.6 - 22.4 dB" ,"Black"          ,"240 mm"  ,89.95    ,"../../assets/img/coolers/default.jpg"
"Thermalright Phantom Spirit 120 SE ARGB"          ,"1500 RPM"          ,"25.6 dB"        ,"Black / Silver" ,"240 mm"  ,35.90    ,"../../assets/img/coolers/thermalight.jpg"
"ID-COOLING SE-214-XT"                             ,"500 - 1500 RPM"    ,"13.8 - 30.5 dB" ,"Black"          ,"240 mm"  ,",17.98" ,"../../assets/img/coolers/default.jpg"
"ARCTIC Liquid Freezer II 240"                     ,"200 - 1800 RPM"    ,""               ,"Black"          ,"240 mm"  ,129.99   ,"../../assets/img/coolers/default.jpg"
"AMD Wraith Prism"                                 ,"2800 RPM"          ,"42 dB"          ,""               ,""        ,"0.00"   ,"../../assets/img/coolers/default.jpg"
"Cooler Master Hyper 212 Black Edition"            ,"650 - 2000 RPM"    ,"6.5 - 26 dB"    ,"Black"          ,"240 mm"  ,29.99    ,"../../assets/img/coolers/default.jpg"
"be quiet! Pure Rock 2 Black"                      ,"1500 RPM"          ,"19.1 - 26.8 dB" ,"Black"          ,"240 mm"  ,34.90    ,"../../assets/img/coolers/bequiet.jpg"
"ARCTIC Liquid Freezer III"                        ,"200 - 1800 RPM"    ,""               ,"Black"          ,"360 mm"  ,90.08    ,"../../assets/img/coolers/default.jpg"
"Corsair H105"                                     ,"800 - 2700 RPM"    ,"37.7 dB"        ,""               ,"240 mm"  ,920.53   ,"../../assets/img/coolers/corsair.jpg"
"Cooler Master Hyper 212 RGB Black Edition"        ,"650 - 2000 RPM"    ,"8 - 30 dB"      ,""               ,"240 mm"  ,59.99    ,"../../assets/img/coolers/default.jpg"
"Lian Li Galahad II Trinity SL-INF"                ,"2100 RPM"          ,"29 dB"          ,"White"          ,"360 mm"  ,164.99   ,"../../assets/img/coolers/default.jpg"
"NZXT Kraken 360 RGB"                              ,"500 - 1800 RPM"    ,"17.9 - 30.6 dB" ,"White"          ,"360 mm"  ,219.99   ,"../../assets/img/coolers/default.jpg"
"Noctua NH-U12A chromax.black"                     ,"450 - 2000 RPM"    ,"18.8 - 22.6 dB" ,"Black"          ,"240 mm"  ,129.94   ,"../../assets/img/coolers/default.jpg"
"NZXT Kraken Elite 360 RGB"                        ,"500 - 1800 RPM"    ,"17.9 - 30.6 dB" ,"Black"          ,"360 mm"  ,267.88   ,"../../assets/img/coolers/default.jpg"
"Corsair iCUE H150i ELITE CAPELLIX XT"             ,"550 - 2100 RPM"    ,""               ,"White"          ,"360 mm"  ,184.99   ,"../../assets/img/coolers/corsair.jpg"
"Deepcool AK620"                                   ,"500 - 1850 RPM"    ,"28 dB"          ,"Black / Silver" ,"240 mm"  ,54.99    ,"../../assets/img/coolers/default.jpg"
"Lian Li Galahad II Trinity SL-INF"                ,"2100 RPM"          ,"29 dB"          ,"Black"          ,"360 mm"  ,183.00   ,"../../assets/img/coolers/default.jpg"
"Corsair iCUE H100i ELITE CAPELLIX XT"             ,"550 - 2100 RPM"    ,"5 - 34.1 dB"    ,"Black"          ,"240 mm"  ,139.99   ,"../../assets/img/coolers/corsair.jpg"
"ARCTIC Liquid Freezer II 280"                     ,"200 - 1700 RPM"    ,""               ,"Black"          ,"280 mm"  ,94.91    ,"../../assets/img/coolers/default.jpg"
"Intel E97379-001"                                 ,"1200 - 2800 RPM"   ,"22 dB"          ,"Silver / Black" ,"240 mm"  ,9.10     ,"../../assets/img/coolers/default.jpg"